"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol"
"ENSMUSG00000000881",24.9784927700704,0.0255158075071799,0.19748424415987,0.792242262281448,0.93389112780498,"Dlg3"
"ENSMUSG00000000884",19.6260926562002,-0.107981318884645,0.259872385099684,0.257535649859419,0.584099214524622,"Gnb1l"
"ENSMUSG00000000901",34.1494632367513,0.0438889577302028,0.203426367978355,0.649235726309583,0.870666815529646,"Mmp11"
"ENSMUSG00000000902",170.473118506942,0.0282816538768424,0.138763294300878,0.772972946599899,0.926273907933858,"Smarcb1"
"ENSMUSG00000000903",1.19848815958004,-0.0652494562291979,0.392064986809739,0.300489188764749,NA,"Vpreb3"
"ENSMUSG00000000915",235.721526077829,0.231394043051491,0.306976248561982,0.0553540855442403,0.256328393108007,"Hip1r"
"ENSMUSG00000000916",118.825374694546,0.0160057124964559,0.153168403174242,0.873882311280409,0.962266281840285,"Nsun5"
"ENSMUSG00000000934",183.398430283895,-0.0255059158209493,0.130210627202319,0.788897322710299,0.932593247638475,"Top1mt"
"ENSMUSG00000000938",123.854851861298,-0.317574747396223,0.157040116526101,0.00538191785040062,0.0573484890275999,"Hoxa10"
"ENSMUSG00000000942",50.8403925701775,-0.047852937490746,0.177435919754264,0.63833937014204,0.866067483984066,"Hoxa4"
"ENSMUSG00000000948",47.5878853954226,-0.335878248764936,0.32916754545429,0.0173931577271837,0.124665173559433,NA
"ENSMUSG00000000957",152.800352429054,0.113735397779516,0.201742999192085,0.277744282312343,0.605948287331944,"Mmp14"
"ENSMUSG00000000958",21.1606838488957,0.150283674187941,0.281077747504931,0.145633780467074,0.443735617040559,"Slc7a7"
"ENSMUSG00000000959",888.973526958964,0.0222886906842564,0.0927756715535523,0.76818399816075,0.924584353453552,"Oxa1l"
"ENSMUSG00000000976",214.40551245221,-0.147139363713883,0.128763433822669,0.129678038540732,0.417691153851653,"Heatr6"
"ENSMUSG00000001014",13.3774252083946,-0.0768737999789094,0.243578070926762,0.399622027665008,0.718330725001665,"Icam4"
"ENSMUSG00000001016",313.514941377377,0.0307216414515575,0.115457509329266,0.729698756897262,0.908794584003175,"Ilf2"
"ENSMUSG00000001017",1545.06415470457,-0.284306026658357,0.104864504819123,0.00159078317678886,0.0235058540192245,"Chtop"
"ENSMUSG00000001018",1142.28874028159,-0.0143234240160697,0.0739752187100569,0.817419800314822,0.943242985181416,"Snapin"
"ENSMUSG00000001020",99.7126451050182,-0.0621830552589168,0.195948295832693,0.533612081401439,0.810762312673699,"S100a4"
"ENSMUSG00000001025",414.601220140824,0.155376701608194,0.157965148634675,0.145274272646019,0.44339320304003,"S100a6"
"ENSMUSG00000001027",6829.00339437456,-0.374460715321398,0.14001664595752,0.000605130916093315,0.0116162686023508,"Scn4a"
"ENSMUSG00000001029",65.8482229096913,0.729302196633949,0.367123888426772,0.000287426555931351,0.00658331407553974,"Icam2"
"ENSMUSG00000001034",51.3264613924388,-0.104916017386925,0.209366924040231,0.306742348173398,0.634649338517549,"Mapk7"
"ENSMUSG00000001036",478.524412569889,-0.400682067970657,0.0970823928232204,2.8305686643956e-06,0.000151124751374682,"Epn2"
"ENSMUSG00000001039",22.4320447077875,-0.103954839327279,0.224089735598195,0.299624470439319,0.628407577407841,"B9d1"
"ENSMUSG00000001052",433.85757304494,-0.0981077094115185,0.134800471818559,0.316974996099062,0.644592948271523,"Sec24b"
