"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_PRE_MIRNA_PROCESSING",0.907268170426065,0.955125743468356,0.060640400949416,-0.258731302814643,-0.634912551868397,15,"Ago2;Dicer1;Drosha;Ago1;Tarbp2;Ago4;Tut4"
"GOBP_PRIMARY_ALCOHOL_METABOLIC_PROCESS",0.26,0.642458302264432,0.0928481214159878,0.457802901523846,1.17569374146328,70,"Pnpla2;Adh1;Cyp1b1;Rdh12;Dgat2;Retsat;Acss1;Aldh2;Aldh1a7;Dhrs4;Aldh3a2;Sult1a1;Aldh1a2;Gdpd1;Aldh1b1;Dhrs3;Aldh3b1;Tpk1;Dgat1;Cbr4;Naaa"
"GOBP_PRIMARY_MIRNA_PROCESSING",0.418679549114332,0.712662120604359,0.0770736734944102,0.488995680814608,1.02555463409025,17,"Tgfb1"
"GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE",0.152690863579474,0.584280622542314,0.122679189568808,0.487347359825726,1.28479852216919,89,"Tlr4;Hmox1;Ncf1;Lipa;Myd88;Apod;Pld3;Alox5ap;Rela;Il4ra;Adcy7;Grn;Lilrb4b;Pld4;Jak2;Prdx2;Chid1;Fcer1g;Sirpa;Cd36;Lyn"
"GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE",0.261415525114155,0.642458302264432,0.0838361057159929,0.402567523026954,1.13657005832472,171,"Tlr4;Slc7a5;Tgfb1;Nsd2;Exo1;Laptm5;Kit;Arid5a;Pirb;Cd74;Bst2;Fcgr2b;Mif;Paxip1;Cyren;Ccr2;H2-T23;Rsad2;Trex1;Lilrb4b;Nfkbiz;Samhd1;Hfe;Pkn1;Sash3;Tlr9;Lacc1;Rigi;Ptprc;Il27ra;Fcer1g;Il33;Cd36;B2m;Sirt1;Htr2a;Ung;Tgfb3;Hmces;Ddx21;Slc15a4;Il2rg;Kmt5c;Ticam1;Mad2l2;H2-Q10;Il18;Plcg2;Il13ra1;Irf5;Pms2;Pkp3;Shld3;Jak3;Smad7;Stat6;Cd55;Tnfrsf1b"
"GOBP_PROGRAMMED_CELL_DEATH_IN_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES",0.3184,0.662626262626263,0.0916795246008379,0.533879174477838,1.12914819347229,16,"Car3;Akt1"
"GOBP_PROGRAMMED_NECROTIC_CELL_DEATH",0.247669773635153,0.636685876877818,0.0956031492204301,0.488394336784606,1.23144842575537,54,"Arhgef2;Bax;Nol3;Ninj1;Tspo;Trp53;Casp6;Casp8;Birc3;Cyld;Pygl;Atg9b;Fas"
"GOBP_PROSTAGLANDIN_TRANSPORT",0.513385826771654,0.767535211487387,0.0656813601934011,0.435928018659116,0.936392383292765,20,"P2rx4;Edn1;Tnfrsf11a;Mif"
"GOBP_PROSTANOID_BIOSYNTHETIC_PROCESS",0.184615384615385,0.595299859420174,0.12384217120105,0.589886677117098,1.32607425276765,27,"Tbxas1;Fabp5;Edn1;Cd74;Mif;Plaa;Sirt1;Ptges2;Hpgds"
"GOBP_PROSTANOID_METABOLIC_PROCESS",0.0599144079885877,0.456282963178013,0.219250346703755,0.63877216502077,1.53439326022187,40,"Hpgd;Tbxas1;Fabp5;Edn1;Cd74;Tnfrsf1a;Mif;Plaa;Sirt1;Ptges2;Gstm2;Acox1;Hpgds"
