"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"15","0.24","UP_KW_CELLULAR_COMPONENT","Golgi apparatus","4","51","943","19181","6.67","4.49e-1","1.00e+0","1.60","1.00e+0","1.00e+0","2.41e-1","ARHGEF2,PTGFRN,ARFGAP3,SH3RF1"
"15","0.24","GOTERM_MF_DIRECT","zinc ion binding","5","51","2099","24521","8.33","6.30e-1","1.00e+0","1.15","1.00e+0","1.00e+0","4.45e-1","NEURL3,BIRC5,ARHGEF2,ARFGAP3,SH3RF1"
"15","0.24","UP_KW_DOMAIN","Zinc-finger","4","37","1442","15070","6.67","6.83e-1","1.00e+0","1.13","1.00e+0","1.00e+0","4.78e-1","NEURL3,ARHGEF2,ARFGAP3,SH3RF1"
"15","0.24","UP_KW_LIGAND","Zinc","5","15","2506","6880","8.33","8.11e-1","1.00e+0","0.92","1.00e+0","1.00e+0","6.90e-1","NEURL3,BIRC5,ARHGEF2,ARFGAP3,SH3RF1"
"15","0.24","GOTERM_MF_DIRECT","metal ion binding","7","51","4074","24521","11.67","8.59e-1","1.00e+0","0.83","1.00e+0","1.00e+0","7.65e-1","NEURL3,ITGAX,BIRC5,ARHGEF2,ATP13A3,ARFGAP3,SH3RF1"
"15","0.24","UP_KW_LIGAND","Metal-binding","8","15","4169","6880","13.33","8.61e-1","1.00e+0","0.88","1.00e+0","1.00e+0","8.01e-1","NEURL3,ITGAX,BIRC5,PGM5,ARHGEF2,ATP13A3,ARFGAP3,SH3RF1"
"16","0.04","GOTERM_MF_DIRECT","DNA binding","4","51","2205","24521","6.67","8.39e-1","1.00e+0","0.87","1.00e+0","1.00e+0","6.85e-1","TEAD4,HES6,CENPA,NFKB2"
"16","0.04","GOTERM_CC_DIRECT","nucleoplasm","5","57","3689","27008","8.33","9.58e-1","1.00e+0","0.64","1.00e+0","9.93e-1","9.05e-1","TEAD4,DUSP2,CENPA,NFKB2,SH3D19"
"16","0.04","UP_KW_MOLECULAR_FUNCTION","DNA-binding","3","34","1958","12802","5.00","9.71e-1","1.00e+0","0.58","1.00e+0","1.00e+0","9.10e-1","TEAD4,CENPA,NFKB2"

