"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"15","1.52","SMART","SERPIN","4","159","67","10952","1.30","7.23e-2","1.00e+0","4.11","1.00e+0","1.00e+0","1.62e-2","SERPINB1A,SERPINA3K,SERPINA3M,SERPINA3N"
"15","1.52","UP_SEQ_FEATURE","DOMAIN:Serpin","3","282","61","22290","0.98","1.79e-1","1.00e+0","3.89","1.00e+0","9.93e-1","4.21e-2","SERPINB1A,SERPINA3K,SERPINA3N"
"16","1.51","UP_KW_BIOLOGICAL_PROCESS","Cell cycle","19","160","669","11883","6.19","3.62e-3","1.43e-1","2.11","2.49e-1","1.39e-1","1.64e-3","MYOG,RB1,PLK3,CDKN1A,GADD45A,CKAP2,TRP63,KIF11,MKI67,TPX2,CCNB2,CCNB1,RASSF4,NUSAP1,BIRC5,MCM5,ARHGEF2,DLGAP5,SPC25"
"16","1.51","GOTERM_CC_DIRECT","spindle","9","289","236","27008","2.93","3.98e-3","4.54e-2","3.56","7.20e-1","4.07e-2","1.06e-3","RB1,TPX2,ERCC2,NUSAP1,CKAP2,BIRC5,ARHGEF2,KIF11,DLGAP5"
"16","1.51","GOTERM_BP_DIRECT","cell division","9","287","412","26568","2.93","7.86e-2","9.84e-1","2.02","1.00e+0","9.77e-1","3.60e-2","RB1,TPX2,CCNB2,CCNB1,NUSAP1,BIRC5,ARHGEF2,KIF11,SPC25"
"16","1.51","UP_KW_BIOLOGICAL_PROCESS","Mitosis","8","160","285","11883","2.61","8.83e-2","6.97e-1","2.08","9.99e-1","6.80e-1","3.89e-2","TPX2,CCNB2,CCNB1,NUSAP1,BIRC5,ARHGEF2,KIF11,SPC25"
"16","1.51","UP_KW_BIOLOGICAL_PROCESS","Cell division","8","160","397","11883","2.61","2.82e-1","1.00e+0","1.50","1.00e+0","9.87e-1","1.67e-1","TPX2,CCNB2,CCNB1,NUSAP1,BIRC5,ARHGEF2,KIF11,SPC25"
"17","1.51","UP_SEQ_FEATURE","DOMAIN:RBD","3","282","7","22290","0.98","3.19e-3","2.02e-1","33.88","9.56e-1","2.01e-1","6.75e-5","TIAM2,TIAM1,RGS12"
"17","1.51","INTERPRO","RBD_dom","3","285","8","22313","0.98","4.30e-3","2.97e-1","29.36","9.85e-1","2.97e-1","1.10e-4","TIAM2,TIAM1,RGS12"
"17","1.51","SMART","RBD","3","159","8","10952","0.98","5.47e-3","2.84e-1","25.83","5.75e-1","2.84e-1","1.59e-4","TIAM2,TIAM1,RGS12"
"17","1.51","UP_SEQ_FEATURE","DOMAIN:PDZ","5","282","149","22290","1.63","1.20e-1","1.00e+0","2.65","1.00e+0","9.93e-1","4.12e-2","TIAM2,TIAM1,SHROOM3,RGS12,CYTIP"
"17","1.51","INTERPRO","PDZ","5","285","151","22313","1.63","1.27e-1","1.00e+0","2.59","1.00e+0","1.00e+0","4.48e-2","TIAM2,TIAM1,SHROOM3,RGS12,CYTIP"
"17","1.51","INTERPRO","PDZ_sf","5","285","155","22313","1.63","1.36e-1","1.00e+0","2.53","1.00e+0","1.00e+0","4.91e-2","TIAM2,TIAM1,SHROOM3,RGS12,CYTIP"
"17","1.51","SMART","PDZ","5","159","151","10952","1.63","1.74e-1","1.00e+0","2.28","1.00e+0","1.00e+0","6.90e-2","TIAM2,TIAM1,SHROOM3,RGS12,CYTIP"
"18","1.37","GOTERM_BP_DIRECT","lipid metabolic process","19","287","800","26568","6.19","2.76e-3","2.12e-1","2.20","9.95e-1","2.10e-1","1.21e-3","PI4K2B,HPGD,ABHD2,ELOVL3,CIDEA,MBOAT2,ABHD15,ALDH3A1,UGCG,CES2C,BDH1,GSTA3,LIPG,DPEP2,CYP2E1,LPIN2,LPIN3,SERINC5,ACOT4"
"18","1.37","UP_KW_BIOLOGICAL_PROCESS","Lipid metabolism","17","160","728","11883","5.54","3.44e-2","4.53e-1","1.73","9.37e-1","4.41e-1","1.87e-2","PI4K2B,HPGD,ABHD2,ELOVL3,MBOAT2,ALDH3A1,UGCG,CES2C,BDH1,GSTA3,LIPG,DPEP2,CYP2E1,LPIN2,LPIN3,SERINC5,ACOT4"
"18","1.37","KEGG_PATHWAY","Metabolic pathways","22","157","1667","10620","7.17","8.10e-1","1.00e+0","0.89","1.00e+0","9.75e-1","7.52e-1","GALNT7,CAR3,PI4K2B,RRM2,AMD2,ELOVL3,AMD1,MBOAT2,XYLT1,AMPD3,ALDH3A1,UGCG,FGGY,BDH1,PSAT1,GSTA3,LIPG,HMOX1,CYP2E1,LPIN2,LPIN3,ACOT4"
"19","1.34","GOTERM_BP_DIRECT","cell adhesion","15","287","650","26568","4.89","1.13e-2","4.48e-1","2.14","1.00e+0","4.45e-1","5.02e-3","COL28A1,TNFRSF12A,CLSTN3,MSLN,COL19A1,CX3CL1,CDH4,JAML,ADAM12,ITGAX,CNTN2,NCAM1,NRCAM,PGM5,EMB"
"19","1.34","UP_KW_BIOLOGICAL_PROCESS","Cell adhesion","14","160","497","11883","4.56","1.60e-2","3.35e-1","2.09","7.20e-1","3.26e-1","7.20e-3","COL28A1,TNFRSF12A,CLSTN3,MSLN,COL19A1,CX3CL1,CDH4,JAML,ADAM12,ITGAX,CNTN2,NCAM1,NRCAM,PGM5"
