"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"7","1.89","GOTERM_BP_DIRECT","mitotic cell cycle","3","168","111","26481","1.68","1.55e-1","1.00e+0","4.26","1.00e+0","9.99e-1","3.38e-2","PLK1,TUBG2,AURKB"
"8","1.88","UP_SEQ_FEATURE","DOMAIN:Ig-like C2-type 2","8","165","146","22331","4.47","1.05e-4","3.33e-2","7.42","6.18e-2","3.32e-2","1.33e-5","FCGR1,SDK1,CLMP,NEGR1,CNTN1,TYRO3,DSCAML1,PDGFRL"
"8","1.88","UP_SEQ_FEATURE","DOMAIN:Ig-like C2-type 1","8","165","147","22331","4.47","1.09e-4","3.33e-2","7.37","6.44e-2","3.32e-2","1.40e-5","FCGR1,SDK1,CLMP,NEGR1,CNTN1,TYRO3,DSCAML1,PDGFRL"
"8","1.88","UP_KW_DOMAIN","Immunoglobulin domain","14","116","633","15097","7.82","1.05e-3","9.47e-3","2.88","1.88e-2","9.47e-3","3.51e-4","CD86,FCRL2,NEGR1,CD8B1,THY1,PDGFRL,FCGR1,IGHG3,SDK1,IGHG2B,CLMP,CNTN1,TYRO3,DSCAML1"
"8","1.88","INTERPRO","Ig_sub","13","170","611","22338","7.26","2.44e-3","7.34e-1","2.80","7.81e-1","7.34e-1","8.36e-4","IGKV8-24,FCRL2,NEGR1,IGKV3-4,CD8B1,PDGFRL,FCGR1,IGKV2-137,SDK1,CLMP,CNTN1,TYRO3,DSCAML1"
"8","1.88","INTERPRO","Ig_sub2","8","170","244","22338","4.47","2.63e-3","7.34e-1","4.31","8.05e-1","7.34e-1","5.80e-4","FCGR1,FCRL2,SDK1,CLMP,NEGR1,CNTN1,TYRO3,DSCAML1"
"8","1.88","UP_SEQ_FEATURE","DOMAIN:Ig-like","15","165","817","22331","8.38","2.88e-3","4.39e-1","2.48","8.28e-1","4.38e-1","1.11e-3","CD86,IGKV8-24,FCRL2,NEGR1,IGKV3-4,CD8B1,THY1,PDGFRL,FCGR1,IGKV2-137,IGHG3,SDK1,IGHG2B,TYRO3,DSCAML1"
"8","1.88","INTERPRO","Ig-like_dom","17","170","998","22338","9.50","3.82e-3","7.34e-1","2.24","9.07e-1","7.34e-1","1.63e-3","CD86,IGKV8-24,FCRL2,NEGR1,IGKV3-4,CD8B1,THY1,PDGFRL,FCGR1,IGKV2-137,IGHG3,SDK1,IGHG2B,CLMP,CNTN1,TYRO3,DSCAML1"
"8","1.88","INTERPRO","Ig-like_fold","20","170","1305","22338","11.17","4.73e-3","7.34e-1","2.01","9.47e-1","7.34e-1","2.25e-3","CD86,IGKV8-24,FCRL2,NEGR1,IGKV3-4,F13A1,CD8B1,THY1,PDGFRL,FCGR1,IGKV2-137,IGHG3,SDK1,IGHG2B,CLMP,TNN,CFAP47,CNTN1,TYRO3,DSCAML1"
"8","1.88","SMART","IGc2","8","98","244","10959","4.47","5.85e-3","3.75e-1","3.67","4.44e-1","3.75e-1","1.51e-3","FCGR1,FCRL2,SDK1,CLMP,NEGR1,CNTN1,TYRO3,DSCAML1"
"8","1.88","UP_SEQ_FEATURE","DOMAIN:Ig-like C2-type 3","5","165","98","22331","2.79","5.93e-3","6.03e-1","6.91","9.73e-1","6.02e-1","8.09e-4","FCGR1,SDK1,NEGR1,CNTN1,DSCAML1"
"8","1.88","INTERPRO","Ig-like_dom_sf","17","170","1055","22338","9.50","6.44e-3","8.00e-1","2.12","9.82e-1","8.00e-1","2.91e-3","CD86,IGKV8-24,FCRL2,NEGR1,IGKV3-4,CD8B1,THY1,PDGFRL,FCGR1,IGKV2-137,IGHG3,SDK1,IGHG2B,CLMP,CNTN1,TYRO3,DSCAML1"
"8","1.88","SMART","IG","13","98","611","10959","7.26","7.51e-3","3.75e-1","2.38","5.29e-1","3.75e-1","3.00e-3","IGKV8-24,FCRL2,NEGR1,IGKV3-4,CD8B1,PDGFRL,FCGR1,IGKV2-137,SDK1,CLMP,CNTN1,TYRO3,DSCAML1"
"8","1.88","UP_SEQ_FEATURE","DOMAIN:Fibronectin type-III 4","4","165","62","22331","2.23","1.07e-2","7.26e-1","8.73","9.99e-1","7.25e-1","1.15e-3","SDK1,TNN,CNTN1,DSCAML1"
"8","1.88","UP_SEQ_FEATURE","DOMAIN:Fibronectin type-III 1","5","165","131","22331","2.79","1.60e-2","7.50e-1","5.17","1.00e+0","7.49e-1","2.92e-3","SDK1,TNN,CNTN1,TYRO3,DSCAML1"
"8","1.88","UP_SEQ_FEATURE","DOMAIN:Fibronectin type-III 2","5","165","131","22331","2.79","1.60e-2","7.50e-1","5.17","1.00e+0","7.49e-1","2.92e-3","SDK1,TNN,CNTN1,TYRO3,DSCAML1"
"8","1.88","UP_SEQ_FEATURE","DOMAIN:Fibronectin type-III 3","4","165","81","22331","2.23","2.19e-2","9.36e-1","6.68","1.00e+0","9.35e-1","3.07e-3","SDK1,TNN,CNTN1,DSCAML1"
"8","1.88","INTERPRO","FN3_sf","6","170","211","22338","3.35","2.24e-2","1.00e+0","3.74","1.00e+0","1.00e+0","5.64e-3","SDK1,TNN,CNTN1,TYRO3,DSCAML1,PAPPA2"
"8","1.88","GOTERM_BP_DIRECT","immune response","9","168","544","26481","5.03","2.25e-2","1.00e+0","2.61","1.00e+0","9.99e-1","8.13e-3","IGKV2-137,CX3CR1,CD86,CD74,IGKV8-24,FCRL2,IGKV3-4,TNFSF8,LAT"
"8","1.88","UP_SEQ_FEATURE","DOMAIN:Fibronectin type-III 6","3","165","32","22331","1.68","2.30e-2","9.36e-1","12.69","1.00e+0","9.35e-1","1.68e-3","SDK1,TNN,DSCAML1"
"8","1.88","GOTERM_BP_DIRECT","adaptive immune response","9","168","565","26481","5.03","2.73e-2","1.00e+0","2.51","1.00e+0","9.99e-1","1.03e-2","IGKV2-137,CX3CR1,CD86,CD74,IGKV8-24,IGKV3-4,CD8B1,CD247,LAT"
"8","1.88","UP_SEQ_FEATURE","DOMAIN:Ig-like C2-type 6","3","165","36","22331","1.68","2.87e-2","1.00e+0","11.28","1.00e+0","1.00e+0","2.36e-3","SDK1,CNTN1,DSCAML1"
"8","1.88","UP_SEQ_FEATURE","DOMAIN:Fibronectin type-III 5","3","165","42","22331","1.68","3.81e-2","1.00e+0","9.67","1.00e+0","1.00e+0","3.68e-3","SDK1,TNN,DSCAML1"
"8","1.88","SMART","FN3","5","98","153","10959","2.79","4.67e-2","1.00e+0","3.65","9.92e-1","1.00e+0","1.19e-2","SDK1,TNN,CNTN1,TYRO3,DSCAML1"
"8","1.88","UP_SEQ_FEATURE","DOMAIN:Ig-like C2-type 5","3","165","53","22331","1.68","5.79e-2","1.00e+0","7.66","1.00e+0","1.00e+0","7.08e-3","SDK1,CNTN1,DSCAML1"
"8","1.88","UP_KW_BIOLOGICAL_PROCESS","Adaptive immunity","10","97","639","11926","5.59","7.15e-2","6.23e-1","1.92","9.89e-1","6.03e-1","3.46e-2","IGKV2-137,CX3CR1,CD86,CD74,IGKV8-24,CRACR2A,IGKV3-4,CD8B1,CD247,LAT"
"8","1.88","INTERPRO","FN3_dom","5","170","207","22338","2.79","7.20e-2","1.00e+0","3.17","1.00e+0","1.00e+0","2.11e-2","SDK1,TNN,CNTN1,TYRO3,DSCAML1"
"8","1.88","INTERPRO","Ig_I-set","4","170","133","22338","2.23","8.02e-2","1.00e+0","3.95","1.00e+0","1.00e+0","1.89e-2","SDK1,CNTN1,TYRO3,DSCAML1"
"8","1.88","UP_SEQ_FEATURE","DOMAIN:Ig-like C2-type 4","3","165","65","22331","1.68","8.26e-2","1.00e+0","6.25","1.00e+0","1.00e+0","1.24e-2","SDK1,CNTN1,DSCAML1"
"8","1.88","INTERPRO","Ig_V-set","9","170","694","22338","5.03","1.57e-1","1.00e+0","1.70","1.00e+0","1.00e+0","8.40e-2","IGKV2-137,CD86,IGKV8-24,CLMP,NEGR1,IGKV3-4,CD8B1,THY1,DSCAML1"
"8","1.88","UP_SEQ_FEATURE","DOMAIN:Fibronectin type-III","4","165","191","22331","2.23","1.66e-1","1.00e+0","2.83","1.00e+0","1.00e+0","5.36e-2","SDK1,TNN,TYRO3,DSCAML1"
"8","1.88","SMART","IGv","8","98","548","10959","4.47","2.11e-1","1.00e+0","1.63","1.00e+0","1.00e+0","1.17e-1","IGKV2-137,CD86,IGKV8-24,CLMP,IGKV3-4,CD8B1,THY1,DSCAML1"
"9","1.80","GOTERM_CC_DIRECT","side of membrane","7","171","130","26676","3.91","1.90e-4","1.76e-2","8.40","5.14e-2","1.74e-2","2.14e-5","ACHE,NEGR1,CNTN1,LYPD2,GPC2,THY1,LY6G6D"
"9","1.80","UP_KW_PTM","GPI-anchor","7","123","157","14135","3.91","2.39e-3","4.31e-2","5.12","3.99e-2","4.07e-2","4.41e-4","ACHE,NEGR1,CNTN1,LYPD2,GPC2,THY1,LY6G6D"
"9","1.80","UP_KW_PTM","Lipoprotein","14","123","930","14135","7.82","5.78e-2","2.60e-1","1.73","6.36e-1","2.46e-1","3.13e-2","GRIA2,ACHE,RGS19,NEGR1,LYPD2,THY1,ANK1,CRACR2A,STING1,CNTN1,GPC2,RAB7B,LY6G6D,LAT"
"9","1.80","UP_SEQ_FEATURE","PROPEP:Removed in mature form","6","165","285","22331","3.35","5.95e-2","1.00e+0","2.85","1.00e+0","1.00e+0","1.94e-2","NEGR1,CNTN1,LYPD2,GPC2,THY1,LY6G6D"
"9","1.80","UP_SEQ_FEATURE","LIPID:GPI-anchor amidated serine","3","165","67","22331","1.68","8.70e-2","1.00e+0","6.06","1.00e+0","1.00e+0","1.34e-2","CNTN1,LYPD2,GPC2"
"9","1.80","GOTERM_BP_DIRECT","positive regulation of neuron projection development","4","168","185","26481","2.23","1.12e-1","1.00e+0","3.41","1.00e+0","9.99e-1","3.05e-2","NEGR1,TNN,CNTN1,GPC2"
"10","1.52","GOTERM_CC_DIRECT","chromosome, centromeric region","5","171","94","26676","2.79","3.11e-3","1.72e-1","8.30","5.78e-1","1.70e-1","3.54e-4","HELLS,PLK1,CENPM,CENPP,AURKB"
"10","1.52","GOTERM_CC_DIRECT","spindle","6","171","237","26676","3.35","1.83e-2","4.90e-1","3.95","9.94e-1","4.84e-1","4.37e-3","MAK,PLK1,KNTC1,KIF22,TUBG2,AURKB"
"10","1.52","GOTERM_CC_DIRECT","spindle pole","5","171","160","26676","2.79","1.94e-2","4.90e-1","4.88","9.96e-1","4.84e-1","3.77e-3","CCNB1,PLK1,TACC3,KNTC1,AURKB"
"10","1.52","UP_KW_CELLULAR_COMPONENT","Centromere","5","154","148","19217","2.79","3.07e-2","2.02e-1","4.22","6.42e-1","2.02e-1","6.83e-3","PLK1,CENPM,KNTC1,CENPP,AURKB"
