"celltype","Reversal_norm","Reversal_DR","Reversal_sAct","Aged"
"Muscle stem cell",-0.173247041917783,-0.276043804466133,-0.515179966183342,-0.0465942625608202
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",-0.147289491231808,-0.238353922151389,-0.548865228346917,0.0308327734969173
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (Myh4+?)",-0.242709831023161,-0.397804825634028,1.07322957973029,-0.368886093652012
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (neuromuscular junction nuclei)",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",-0.0261055016072982,-0.0338770978654152,2.68924037343371,-0.0227221506778336
"Myonuclei",0,0,0,0
"Myonuclei (myotendinous junction nuclei)",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Tenocytes",0.00392133868923322,0.172076983845456,-0.430537709992931,-0.0118461466849215
"Myonuclei",0,0,0,0
"Macrophages",0.141261556258,0.0513775904861388,-0.556598438851397,0.0466364036648666
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",0.0440698121897441,-0.00786726867362858,3.50734928442193,0.0453975338048648
"Myonuclei",0,0,0,0
"FAPs",-0.0725820963444974,-0.225672790899101,-0.73562677520152,0.066865014282194
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",-0.032044631748936,-0.0337478686163144,0.894946472240929,-0.188859299604313
"FAPs",0.121997568930409,0.0210600578930554,-0.688074053883897,0.0915028655316827
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"FAPs",-0.0995601301979474,-0.104805135893491,-0.669753493621806,0.0239536322502672
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Lymphatic vessels",-0.0100147164321802,-0.165331514932077,-0.544870644904431,-0.0699301602316811
"FAPs",0.172019488844467,0.206630416548102,-0.352801300793325,0.104216210626697
"Endothelial cells",0.102828723095961,0.0075902493625264,3.5550890189556,0.0912172709690026
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",-0.135617742173553,-0.282095622371006,-0.442199930003353,-0.0795891649868665
"Macrophages",0.392952663186365,0.241164717002452,-1.03100628409469,0.275389722344606
"FAPs",-0.175536477662,-0.191366390644394,-0.634790382915966,-0.0535704036397124
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"Macrophages",0.117295529355148,0.171691445394685,-0.771772759346095,0.0876640578479796
"FAPs",-0.0632350948908131,-0.0766542089293548,-0.678125473604274,-0.0659336846057242
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"FAPs",0.0546037446640029,0.210153178740307,-0.506658390297492,-0.0260295607046458
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (myotendinous junction nuclei)",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",-0.0307290145354346,0.0429291235000894,-0.679461239712235,-0.0232342485710272
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",0.117219342457365,0.0612460907971247,-0.56680539282751,0.106600767825639
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (Myh4+?)",0,0,0,0
"FAPs",0.0322757608151827,0.0114111181650191,-0.362496778708326,0.0390749528626137
"Myonuclei",0,0,0,0
"FAPs",0.115292248175133,0.0698612115625082,-0.5009579358636,0.101048100505414
"FAPs",0,0,0,0
"Myonuclei",0,0,0,0
"Muscle stem cell",-0.167582259017861,-0.194030752379724,-0.37421252149038,0.0946222298836058
"Macrophages",0.498996843884082,0.442397635579749,-1.02337217845446,0.279387340580788
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (myotendinous junction nuclei)",0,0,0,0
"Myonuclei (Myh4+?)",-0.196860556016445,-0.297280490526377,0.857106743778599,-0.251840981977886
"Myonuclei",0,0,0,0
"Macrophages",0.339859743872244,0.470192971244796,5.67430137729576,0.0928423702597914
"Myonuclei",0,0,0,0
"FAPs",-0.0545945939358179,-0.0746230563061235,-0.550065255556793,0.0104375762403253
"Myonuclei",0,0,0,0
"Myonuclei (Myh4+?)",-0.478359553839107,-0.429964702982527,0.681552934504332,-0.410031807539198
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",-0.0944419708238836,0.107523584139556,-0.456842067235988,-0.13672332286965
"FAPs",-0.00180101524087539,0.0225770029771866,-0.349098609096233,-0.0859301442782147
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"Macrophages",0.16661655424806,0.247564426143369,-0.765318830324687,0.0436116970188147
