"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"EC-2","FIB","Pdgfd","Pdgfrb",0.0125264833105736,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"EC-3","FIB","Pdgfd","Pdgfrb",0.00310901923084056,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"EC-4","FIB","Pdgfd","Pdgfrb",0.0212228198009378,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"EC-1(gEC)","FIB","Pdgfd","Pdgfrb",0.0158752925355074,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"EC-5","FIB","Pdgfd","Pdgfrb",0.0276508079375407,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"FIB","FIB","Pdgfd","Pdgfrb",0.00313033041960566,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"IC-B","FIB","Pdgfd","Pdgfrb",0.00224498256478311,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"Undef","FIB","Pdgfd","Pdgfrb",0.0154459169513316,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"IC-A","FIB","Pdgfd","Pdgfrb",0.00242844632036852,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"PT-2","FIB","Pdgfd","Pdgfrb",0.00362083342271117,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"PC","FIB","Pdgfd","Pdgfrb",0.0031001239586973,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"vSMC/MC","FIB","Pdgfd","Pdgfrb",0.0128378982101465,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"IMM","FIB","Pdgfd","Pdgfrb",0.00281637475438219,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"PECs?","FIB","Pdgfd","Pdgfrb",0.0194189874184756,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"PROLIF","FIB","Pdgfd","Pdgfrb",0.00840704053280258,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"PT-1","Undef","Pdgfd","Pdgfrb",0.000625169778102761,0.04,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"TAL-1","Undef","Pdgfd","Pdgfrb",0.00331091625063319,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"EC-2","Undef","Pdgfd","Pdgfrb",0.002056909448749,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"EC-4","Undef","Pdgfd","Pdgfrb",0.00352747521943697,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"EC-1(gEC)","Undef","Pdgfd","Pdgfrb",0.00261063368674899,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"EC-5","Undef","Pdgfd","Pdgfrb",0.00461860907531847,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"Undef","Undef","Pdgfd","Pdgfrb",0.00253150429079457,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"vSMC/MC","Undef","Pdgfd","Pdgfrb",0.00210230052423356,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"PECs?","Undef","Pdgfd","Pdgfrb",0.00321137909912449,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
