"","baseMean","log2FoldChange","lfcSE","pvalue","padj","padj_combi_ctrl","log2FC_combi_ctrl","Symbol"
"ENSMUSG00000003053",26.526150568914,2.56340840999502,1.69536031525122,0.000166369450809142,0.000791418801038753,0.00160224226623912,2.48001915321751,"Cyp2c29"
"ENSMUSG00000003166",1243.50233994524,-0.691948552499912,0.134438784392617,3.09130226365045e-08,2.90424708180179e-07,1.99391638547495e-06,-0.640214331823906,"Dgcr2"
"ENSMUSG00000003226",3292.07599794797,-0.282772562767945,0.0702495635988298,3.95762208565071e-05,0.000216900373826142,0.111946307512497,-0.135031892465656,"Ranbp2"
"ENSMUSG00000003271",46.010103586933,1.3402553145722,0.38139409557522,2.68269593164759e-05,0.000152228643037201,0.000443862761416018,1.23265036928298,"Sult2b1"
"ENSMUSG00000003273",48.122389690365,1.01571774012731,0.378813589873514,0.000562025713776422,0.00236474072800915,0.0420245899151536,0.625176738846501,"Car11"
"ENSMUSG00000003279",22.0415940697603,1.1265311820764,0.760216795561131,0.00639374611159075,0.0199443564011023,0.279610345946096,0.408997390732334,"Dlgap1"
"ENSMUSG00000003283",35.3970061497095,0.789923870656529,0.362405732389692,0.0035320871607053,0.012008492570815,0.916182723068773,0.039539069568987,"Hck"
"ENSMUSG00000003309",539.969804245817,1.3444194982142,0.129320048438058,4.16563556349261e-26,2.31425490844426e-24,5.89961334580555e-24,1.33418500082067,"Ap1m2"
"ENSMUSG00000003316",3548.73556928073,-0.345375771675346,0.110109673590331,0.000958367660453544,0.00382060020019253,0.251413690132768,-0.154118627469636,"Glg1"
"ENSMUSG00000003352",348.29065683617,1.70438283684978,0.174168172046575,1.08029933912346e-23,4.98516787838203e-22,2.30513956188265e-19,1.59619717699871,"Cacnb3"
"ENSMUSG00000003355",59.8490345062794,0.514182722928274,0.264151122384481,0.0144123354386181,0.0401466301874896,0.105939452911353,0.404191336467053,"Fkbp11"
"ENSMUSG00000003410",64.2021495768209,1.18687310519517,0.384621182098933,0.000130756712039701,0.000639287179389777,0.0624896078905826,0.574169247573432,"Elavl3"
"ENSMUSG00000003438",739.565736185852,-0.862021309314148,0.12597826287339,6.0856886929096e-13,1.05250662968069e-11,5.83076866243453e-11,-0.832556266189137,"Timm50"
"ENSMUSG00000003452",312.274719354243,0.530726347625736,0.186288843154701,0.00111396154787326,0.004367352892894,0.00557416393026795,0.516455670703516,"Bicd1"
"ENSMUSG00000003518",1409.72044608571,0.645905257226326,0.152978779380184,3.53427808969658e-06,2.37397017649359e-05,0.0417901164402349,0.322290160573412,"Dusp3"
"ENSMUSG00000003526",3697.00288795629,-0.918939323953394,0.167200696102394,3.09923185400371e-09,3.37756834763177e-08,0.431145058908832,-0.149078086149432,"Prodh"
"ENSMUSG00000003531",896.604626289726,-0.357014629596636,0.0873312795215949,2.37921651084183e-05,0.000136134169114307,0.340357314284092,-0.106343246763908,"Dgcr6"
"ENSMUSG00000003534",2686.96329041492,0.395705748231321,0.11015534070099,0.000152743596198498,0.000735217179281687,0.0036281234056661,0.345576600900279,"Ddr1"
"ENSMUSG00000003546",1348.10549196649,-0.612575785594544,0.175699300651457,8.53129894065492e-05,0.000435632874533211,0.00281332979735784,-0.518889092792383,"Klc4"
"ENSMUSG00000003573",213.409759819136,1.15228442128694,0.160581386740914,8.41983637400025e-14,1.59792104620697e-12,1.23038877900802e-07,0.871640723475658,"Homer3"
"ENSMUSG00000003585",91.5217124813252,1.09568890976743,0.474776928324412,0.00139318606854497,0.00531436089706384,0.0252863251318819,0.816334554260125,"Sec14l2"
