"","baseMean","log2FoldChange","lfcSE","pvalue","padj","padj_combi_ctrl","log2FC_combi_ctrl","Symbol","ENSEMBL_clean"
"ENSMUSG00000002458",83.0461318800509,1.13322752639239,0.332896231969925,4.73049738369189e-05,0.00025517999041022,0.309472088507805,0.285870685414652,"Rgs19","ENSMUSG00000002458"
"ENSMUSG00000002603",340.142610176696,0.459642923989952,0.175978732672952,0.00311770999339929,0.0107821481583583,0.162267707876807,0.265963773033153,"Tgfb1","ENSMUSG00000002603"
"ENSMUSG00000002688",236.968264315696,0.36937250567066,0.145724955786251,0.00565586351550996,0.0179437660647595,0.442191633707938,0.13924805296717,"Prkd1","ENSMUSG00000002688"
"ENSMUSG00000002748",1952.82937109133,-0.413050725542175,0.125329029102313,0.000422484009969814,0.00183426860386152,0.00234257305478636,-0.404314978455839,"Baz1b","ENSMUSG00000002748"
"ENSMUSG00000002767",763.517738537488,-0.274443031362477,0.109742464360255,0.00858973201767773,0.0257640144924736,0.0280600297736453,-0.271833982414131,"Mrpl2","ENSMUSG00000002767"
"ENSMUSG00000002769",267.991601099125,-1.42693257225953,0.287373657558204,6.01972963119651e-08,5.42239142368059e-07,0.373023082756402,-0.23490410535274,"Gnmt","ENSMUSG00000002769"
"ENSMUSG00000002808",260.180433248421,0.847372409069279,0.132683125221268,1.34584121890943e-11,2.01410353671103e-10,0.0136537409048678,0.347343315098454,"Epdr1","ENSMUSG00000002808"
"ENSMUSG00000002844",371.681656397407,0.33812330896044,0.128976708078649,0.0049599429194159,0.0160578582823461,0.0267741192453681,0.314581142119406,"Adprh","ENSMUSG00000002844"
"ENSMUSG00000002870",235.326638590904,0.920894453540936,0.159266805811431,5.88876015486623e-10,7.04702471240279e-09,0.128954031139975,0.26050716386846,"Mcm2","ENSMUSG00000002870"
"ENSMUSG00000002897",411.481724422779,-0.8453579017002,0.170164846432721,5.6046799465151e-08,5.05998544967039e-07,0.0192592575459671,-0.392917270467524,"Il17ra","ENSMUSG00000002897"
"ENSMUSG00000002900",3271.5765827101,0.204762027062581,0.0899637476226042,0.018693324612355,0.0496715475237312,0.47972720428236,0.0855929090900166,"Lamb1","ENSMUSG00000002900"
"ENSMUSG00000003037",1269.09328610395,-0.427467017501521,0.132682535372578,0.000514312432287131,0.00218549961622076,0.00597671096199156,-0.386491452939318,"Rab8a","ENSMUSG00000003037"
"ENSMUSG00000003226",3292.07599794797,-0.282772562767945,0.0702495635988298,3.95762208565071e-05,0.000216900373826142,0.111946307512497,-0.135031892465656,"Ranbp2","ENSMUSG00000003226"
"ENSMUSG00000003279",22.0415940697603,1.1265311820764,0.760216795561131,0.00639374611159075,0.0199443564011023,0.279610345946096,0.408997390732334,"Dlgap1","ENSMUSG00000003279"
"ENSMUSG00000003283",35.3970061497095,0.789923870656529,0.362405732389692,0.0035320871607053,0.012008492570815,0.916182723068773,0.039539069568987,"Hck","ENSMUSG00000003283"
"ENSMUSG00000003316",3548.73556928073,-0.345375771675346,0.110109673590331,0.000958367660453544,0.00382060020019253,0.251413690132768,-0.154118627469636,"Glg1","ENSMUSG00000003316"
"ENSMUSG00000003355",59.8490345062794,0.514182722928274,0.264151122384481,0.0144123354386181,0.0401466301874896,0.105939452911353,0.404191336467053,"Fkbp11","ENSMUSG00000003355"
"ENSMUSG00000003518",1409.72044608571,0.645905257226326,0.152978779380184,3.53427808969658e-06,2.37397017649359e-05,0.0417901164402349,0.322290160573412,"Dusp3","ENSMUSG00000003518"
"ENSMUSG00000003526",3697.00288795629,-0.918939323953394,0.167200696102394,3.09923185400371e-09,3.37756834763177e-08,0.431145058908832,-0.149078086149432,"Prodh","ENSMUSG00000003526"
"ENSMUSG00000003531",896.604626289726,-0.357014629596636,0.0873312795215949,2.37921651084183e-05,0.000136134169114307,0.340357314284092,-0.106343246763908,"Dgcr6","ENSMUSG00000003531"
"ENSMUSG00000003534",2686.96329041492,0.395705748231321,0.11015534070099,0.000152743596198498,0.000735217179281687,0.0036281234056661,0.345576600900279,"Ddr1","ENSMUSG00000003534"
"ENSMUSG00000003660",2159.24886369572,-0.323411887870545,0.086225657178256,0.000107961642090544,0.000538697716893833,0.0145729618987392,-0.237135115531846,"Snrnp200","ENSMUSG00000003660"
"ENSMUSG00000003731",1779.19364485757,-0.399442522692254,0.0812303418211587,4.09419430432078e-07,3.22620564653867e-06,0.0111700182980133,-0.230771411679404,"Kpna6","ENSMUSG00000003731"
"ENSMUSG00000003812",224.793255738153,0.435733530925738,0.174205978698483,0.00473576046103477,0.0154485057912942,0.445358219895244,0.156353237655589,"Dnase2a","ENSMUSG00000003812"
