"GeneID","log2FoldChange_aging","padj_aging","log2FoldChange_intervention","padj_intervention","Symbol","LFC_Sum","rescue_significant"
"ENSMUSG00000001131",3.48393421709305,2.1710024226409e-07,-0.156236485081847,0.268403024364181,"Timp1",3.32769773201121,"No"
"ENSMUSG00000001173",0.621901751182656,3.36906725104111e-05,-0.0179576901554375,0.91827576919462,"Ocrl",0.603944061027219,"No"
"ENSMUSG00000001211",-0.783087716994526,2.1242969570552e-11,0.185520149511601,0.0895522847486743,"Agpat3",-0.597567567482925,"No"
"ENSMUSG00000001228",1.94061065880861,1.78037614705832e-07,-0.0219513876874553,0.889064833836612,"Uhrf1",1.91865927112116,"No"
"ENSMUSG00000001240",0.751705394198947,3.07896171209681e-06,-0.153495987266826,0.208227994178322,"Ramp2",0.598209406932121,"No"
"ENSMUSG00000001248",0.523269681479653,2.23194991539546e-05,-0.0557282394535048,0.670639467887815,"Gramd1a",0.467541442026148,"No"
"ENSMUSG00000001249",-0.709677945855129,4.44713204342858e-10,0.0404157335118746,0.776563421874335,"Hpn",-0.669262212343255,"No"
"ENSMUSG00000001270",0.538389967335999,0.00185852504707036,-0.0174688557296318,0.920807250036092,"Ckb",0.520921111606367,"No"
"ENSMUSG00000001280",-0.287982518246746,0.0305716841210002,0.152926767568313,0.171262281360163,"Sp1",-0.135055750678433,"No"
"ENSMUSG00000001323",-0.801679032033284,3.8049956295419e-10,0.0340293892912233,0.825305086189863,"Srr",-0.767649642742061,"No"
"ENSMUSG00000001333",1.03103971364563,0.0119959209967884,-0.248624958354045,0.135703540146779,"Sync",0.782414755291589,"No"
"ENSMUSG00000001334",1.79141346409759,2.62606411588209e-07,-0.12852003862477,0.343383434407109,"Fndc5",1.66289342547282,"No"
"ENSMUSG00000001348",-0.512718798455588,1.35307766603088e-07,0.00256455401028464,0.98857750828952,"Acp5",-0.510154244445304,"No"
"ENSMUSG00000001366",-0.587879338378227,9.35319491435827e-08,0.0175203603572869,0.917885754422659,"Fbxo9",-0.57035897802094,"No"
"ENSMUSG00000001403",3.0116652215258,2.21006116293871e-11,-0.247326365111129,0.142457647639864,"Ube2c",2.76433885641467,"No"
"ENSMUSG00000001424",-0.491732210484409,0.000391892194994241,0.0474134751432431,0.735848220512133,"Snd1",-0.444318735341166,"No"
"ENSMUSG00000001435",1.35255093808175,2.13211443952937e-41,-0.219320143019351,0.0293465738178752,"Col18a1",1.1332307950624,"Yes"
"ENSMUSG00000001436",-1.2715116721937,7.97794031017864e-24,0.466465789829934,0.000880628530155719,"Slc19a1",-0.805045882363765,"Yes"
"ENSMUSG00000001467",-2.45845788508166,3.15725639229358e-35,0.0187760077767968,0.913437455186153,"Cyp51",-2.43968187730487,"No"
"ENSMUSG00000001473",0.950399248019756,0.00205097311784793,-0.101831586280736,0.441733356718019,"Tubb6",0.84856766173902,"No"
"ENSMUSG00000001506",2.05586657370434,1.07240723017658e-31,-1.34084450346562,1.97553930404317e-14,"Col1a1",0.715022070238726,"Yes"
"ENSMUSG00000001507",1.26097860426125,7.2380721910351e-23,-0.0331857140861082,0.82952634158832,"Itga3",1.22779289017515,"No"
"ENSMUSG00000001517",1.1478336838303,0.000889947385523918,-0.208549383031823,0.184326659053813,"Foxm1",0.939284300798478,"No"
"ENSMUSG00000001521",-1.32709140895481,1.36369413296903e-20,0.0505569165563286,0.716741467457011,"Tulp3",-1.27653449239848,"No"
