"","Reversal_norm1","Reversal_DR1","Reversal_sAct1","celltype"
"Cell_276",0.0365659907668241,-0.123796243145891,0.119433621935647,"PT-1"
"Cell_277",-0.0422145195846378,-0.0675998059666106,0.230981191842858,"PODO"
"Cell_278",0,0,0,"PT-1"
"Cell_279",0.0531684960126679,-0.142373436153055,-0.436931526380679,"PT-1"
"Cell_280",0.00279385296092965,0.0831836856718885,-0.203087986340956,"EC-1(gEC)"
"Cell_281",0,0,0,"TAL-2"
"Cell_282",0,0,0,"DCT/CNT"
"Cell_283",0.168395451361318,0.336453770558183,-0.0542377402215928,"EC-2"
"Cell_284",0.276504553568576,0.102052401644724,0.0574321878070615,"PT-1"
"Cell_285",0.0357234189297603,-0.00821313610676733,-0.124763584897513,"PT-2"
"Cell_286",0,0,0,"PT-1"
"Cell_287",0,0,0,"PT-1"
"Cell_288",0,0,0,"PT-1"
"Cell_289",0,0,0,"PT-1"
"Cell_290",0,0,0,"PT-1"
"Cell_291",0.271153179183206,0.366604875153369,0.142636699616488,"EC-2"
"Cell_292",0,0,0,"PT-1"
"Cell_293",0.220187301243323,0.158989515657996,-0.155445902508286,"EC-3"
"Cell_294",0,0,0,"PT-1"
"Cell_295",0,0,0,"PT-1"
"Cell_296",0,0,0,"TAL-2"
"Cell_297",0,0,0,"PT-1"
"Cell_298",0,0,0,"PT-1"
"Cell_299",0.287187679079266,0.391817517466317,0.150320016142023,"EC-3"
"Cell_300",0,0,0,"PT-1"
"Cell_301",0,0,0,"PT-1"
"Cell_302",0.000621422319598053,0.0501444470954328,0.0991683918182176,"PODO"
"Cell_303",0.0788194427800272,0.0692579488579451,0.198045243084912,"PT-2"
"Cell_304",0.166140087916868,0.0253066200829313,-0.186731338295204,"PT-1"
"Cell_305",0.112925006177075,0.058419382352961,0.0265442709704397,"PT-1"
"Cell_306",0.218760819211928,0.285535686518913,-0.107990873633396,"FIB"
"Cell_307",0,0,0,"TAL-2"
"Cell_308",0.111518357086597,0.346242778258225,-0.161433168670909,"EC-2"
"Cell_309",0.0760240006625337,-0.0455162062189553,0.30597997105055,"PT-2"
"Cell_310",0,0,0,"PT-1"
"Cell_311",0.238985873375422,0.396563641997919,0.048872930910749,"EC-2"
"Cell_312",0.0533832817174665,-0.123264705765928,-0.0340095936756416,"PT-2"
"Cell_313",0.195545087616822,0.387624307838082,-0.236426396550567,"FIB"
"Cell_314",0.21390480945777,0.0515456024883376,0.442227653891125,"PT-1"
"Cell_315",0,0,0,"PT-1"
"Cell_316",0,0,0,"PT-1"
"Cell_317",0,0,0,"PT-1"
"Cell_318",0,0,0,"PT-1"
"Cell_319",0,0,0,"TAL-2"
"Cell_320",0.116638713399268,-0.135161464597846,-0.298934166480029,"PT-1"
"Cell_321",0.0692682939667223,-0.112227401997168,0.159669178723787,"PT-2"
"Cell_322",0,0,0,"PT-1"
"Cell_323",0,0,0,"TAL-2"
"Cell_324",0,0,0,"PT-1"
"Cell_325",0.0710711761369735,0.0666108274561125,-0.317409428899531,"vSMC/MC"
"Cell_326",0,0,0,"PT-1"
"Cell_327",0,0,0,"PT-1"
"Cell_328",0,0,0,"TAL-2"
"Cell_329",0.241749063850853,-0.0419861729015718,0.184758459562451,"PT-1"
"Cell_330",0.122732208524535,-0.079521709787492,0.369420197858258,"PT-1"
"Cell_331",0,0,0,"TAL-1"
"Cell_332",0,0,0,"PT-1"
"Cell_333",0,0,0,"PT-1"
"Cell_334",0,0,0,"PT-1"
"Cell_335",0,0,0,"PT-1"
"Cell_336",0,0,0,"PT-1"
"Cell_337",0.151454552815562,0.217529149559989,0.27265398239843,"EC-3"
"Cell_338",0.189859483375086,0.285179878249764,0.424614040888915,"IC-A"
"Cell_339",0,0,0,"DCT/CNT"
"Cell_340",0.104611769073439,-0.167582715689053,0.00716734816574227,"PT-1"
"Cell_341",0,0,0,"PT-1"
"Cell_342",0,0,0,"PT-1"
"Cell_343",0.149018338144199,0.20066908282708,0.0982623380149382,"FIB"
"Cell_344",0.0467928348372083,-0.171578056215253,0.0452427061382453,"PT-1"
"Cell_345",0.0397258845181593,-0.36383066172396,0.795122218984983,"PT-1"
"Cell_346",0,0,0,"TAL-1"
"Cell_347",0,0,0,"IC-A"
"Cell_348",0.178042723299611,0.331365173357965,-0.0347254145018244,"EC-2"
"Cell_349",0,0,0,"PT-1"
"Cell_350",0.117755553878644,0.0405861749065395,0.259990467350392,"PC_CNT"
"Cell_351",0,0,0,"PT-1"
"Cell_352",0.188165626300867,0.0721642611022069,-0.175556760848906,"PT-1"
"Cell_353",0.0808213630079465,0.138842287665416,0.0212676531191183,"EC-2"
"Cell_354",0,0,0,"PT-1"
"Cell_355",0,0,0,"PT-1"
"Cell_356",0.0741513902829955,0.211832022828439,-0.161405033756972,"vSMC/MC"
"Cell_357",0,0,0,"PT-1"
"Cell_358",0.13497682358848,0.207253419258266,-0.00631018637997793,"vSMC/MC"
"Cell_359",0.0591046113745496,0.0176568064012719,0.060045658027326,"ADIPO"
"Cell_360",0,0,0,"TAL-1"
"Cell_361",0,0,0,"PT-1"
"Cell_362",0.18060642200349,0.0113839349118782,0.402427799233148,"PT-2"
"Cell_363",0,0,0,"TAL-2"
"Cell_364",0.267742860180989,0.126640092287803,0.303171243252608,"TAL-2"
"Cell_365",0,0,0,"TAL-1"
"Cell_366",0.241849925897325,0.167948388831303,0.631753908790697,"FIB"
"Cell_367",0,0,0,"PT-1"
"Cell_368",0,0,0,"vSMC/MC"
"Cell_369",0,0,0,"PT-1"
"Cell_370",0,0,0,"PT-1"
"Cell_371",0.134463781390562,0.0109367836274528,0.129177461308316,"PT-2"
"Cell_372",0,0,0,"PT-1"
"Cell_373",0,0,0,"PC_CNT"
"Cell_374",0,0,0,"PT-1"
"Cell_375",0,0,0,"PT-1"
"Cell_376",0,0,0,"PT-1"
"Cell_377",0,0,0,"PT-1"
"Cell_378",0,0,0,"PT-1"
"Cell_379",0.104632849914026,0.0496542835009445,-0.0659982546509958,"PT-1"
"Cell_380",0.183339842802472,0.197309112583561,0.36049068359609,"TAL-2"
"Cell_381",0,0,0,"FIB"
"Cell_382",0,0,0,"TAL-1"
"Cell_383",0,0,0,"PT-1"
"Cell_384",0,0,0,"PT-1"
"Cell_385",0.153328722639014,0.0473159667702131,-0.0327323443030132,"PT-1"
"Cell_386",0,0,0,"PT-1"
"Cell_387",0.177574516196718,-0.107654834288418,0.323652456243868,"PT-1"
"Cell_388",0,0,0,"TAL-2"
"Cell_389",0.082196355565445,0.0556735606590159,-0.0474577402327924,"PT-2"
"Cell_390",0,0,0,"TAL-2"
"Cell_391",0,0,0,"IC-A"
"Cell_392",0.00495818147207094,-0.194108515266976,0.0441898716620188,"PT-1"
"Cell_393",0.0902379846628483,-0.0524287412169828,0.570510091438772,"PT-2"
"Cell_394",0,0,0,"PT-1"
"Cell_395",0.0548242508182952,-0.107968377021842,0.0129776023766347,"PT-2"
"Cell_396",0.0620035009579519,0.128880009714292,0.0782837643286269,"PODO"
"Cell_397",0,0,0,"PC_CNT"
"Cell_398",0.0078335793578484,0.0846782621085256,-0.248333923818564,"PODO"
"Cell_399",0,0,0,"PT-1"
"Cell_400",0.178809655815722,0.0520507334734873,0.410993791988441,"PT-1"
"Cell_401",0.215403345704881,-0.00461648096052314,0.602651152936565,"PT-1"
"Cell_402",0.152364994845313,-0.0615899112219489,0.571693504746624,"PT-1"
"Cell_403",0,0,0,"IC-A"
"Cell_404",0,0,0,"DCT/CNT"
"Cell_405",0,0,0,"PC_CNT"
"Cell_406",0,0,0,"TAL-1"
"Cell_407",0,0,0,"PT-1"
"Cell_408",0,0,0,"PT-1"
"Cell_409",0.220496155810862,0.34904604498273,-0.0860412913885777,"EC-3"
"Cell_410",0,0,0,"PT-1"
"Cell_411",0.180416965302759,0.214546522262435,0.168969577875361,"EC-2"
"Cell_412",0,0,0,"PT-1"
"Cell_413",0.0521165432828494,0.329419103246414,-0.138539699443664,"PODO"
"Cell_414",0,0,0,"PT-1"
"Cell_415",0,0,0,"TAL-1"
"Cell_416",0.274914984498552,0.467584125793555,0.0700955126801492,"IMM"
"Cell_417",0.102082068865592,0.0399796160992706,0.413695108001081,"PODO"
"Cell_418",0,0,0,"PT-1"
"Cell_419",0,0,0,"PT-1"
"Cell_420",0.190037834214894,0.0957504003658305,0.219327614775544,"PT-1"
"Cell_421",0,0,0,"TAL-1"
"Cell_422",0,0,0,"PC_CNT"
"Cell_423",0,0,0,"TAL-1"
"Cell_424",0.079468366728514,0.0257542194734998,0.57540760025794,"PT-1"
"Cell_425",0.0779052905582653,0.0436243046075926,0.233832479662401,"TAL-2"
"Cell_426",0.0707697381713425,-0.0113590294306186,0.101715805296229,"PT-1"
"Cell_427",0,0,0,"PT-1"
"Cell_428",0.0174482016932019,-0.0155786242080341,0.0884125991749285,"PT-2"
"Cell_429",0,0,0,"PT-1"
"Cell_430",0,0,0,"PT-1"
"Cell_431",0,0,0,"PT-1"
"Cell_432",0.165947491569537,0.34821816914424,0.283210713147647,"EC-2"
"Cell_433",0,0,0,"PT-1"
"Cell_434",0.160894652306198,0.0906924921871268,0.110619461863516,"PT-1"
"Cell_435",0,0,0,"TAL-1"
"Cell_436",0,0,0,"PC_CNT"
"Cell_437",0.0500905574690629,-0.0796634596320293,-0.190765936321114,"PT-2"
"Cell_438",0.0391810289540256,-0.0674562046302843,-0.192666557326667,"PT-2"
"Cell_439",0,0,0,"TAL-2"
"Cell_440",0,0,0,"PT-1"
"Cell_441",0.200830080594781,-0.0524861827146235,0.116386124286632,"PT-1"
"Cell_442",0,0,0,"TAL-2"
"Cell_443",0,0,0,"PT-1"
"Cell_444",0,0,0,"PT-1"
"Cell_445",0,0,0,"TAL-1"
"Cell_446",0,0,0,"TAL-2"
"Cell_447",0,0,0,"DCT/CNT"
"Cell_448",0,0,0,"PT-1"
"Cell_449",0.14387730223139,0.0944572320847791,0.352417979449639,"PT-2"
"Cell_450",0.191957873352564,0.114568612722538,0.301908764152594,"PT-2"
"Cell_451",0,0,0,"PT-1"
"Cell_452",0.223974190369397,0.380397521127802,-0.190839929759678,"EC-2"
"Cell_453",0,0,0,"TAL-1"
"Cell_454",0,0,0,"PT-1"
"Cell_455",0.10185219667769,-0.183733199534787,-0.114906348053907,"PT-1"
"Cell_456",0.17468820569879,0.234809991555679,0.464894055378938,"FIB"
"Cell_457",0,0,0,"PT-1"
"Cell_458",0,0,0,"PT-1"
"Cell_459",0,0,0,"PT-1"
"Cell_460",0,0,0,"PT-1"
"Cell_461",0,0,0,"PT-1"
"Cell_462",0,0,0,"TAL-1"
"Cell_463",0,0,0,"PT-1"
"Cell_464",0,0,0,"PT-1"
"Cell_465",0,0,0,"TAL-2"
"Cell_466",0.0949963822166987,-0.104352597571989,0.229480582901969,"PT-1"
"Cell_467",0,0,0,"PT-1"
"Cell_468",0.0865586185334373,-0.0860970266611473,0.398914442928347,"PT-1"
"Cell_469",0,0,0,"vSMC/MC"
"Cell_470",0,0,0,"PT-1"
"Cell_471",0,0,0,"PT-1"
"Cell_472",0,0,0,"TAL-1"
"Cell_473",0.051921391321934,0.139833874915971,-0.0392066277648715,"PODO"
"Cell_474",0,0,0,"PT-1"
"Cell_475",0,0,0,"PT-1"
"Cell_476",0,0,0,"TAL-2"
"Cell_477",0,0,0,"PT-1"
"Cell_478",0.0656405806572526,-0.0592808260912185,0.0439607078763529,"PT-2"
"Cell_479",0,0,0,"PT-1"
"Cell_480",0.081051959799803,-0.0583843947121468,-0.0783626201924288,"PT-1"
"Cell_481",0.134046339230189,-0.0573646601661788,0.31703181557711,"PT-1"
"Cell_482",0,0,0,"TAL-1"
"Cell_483",0,0,0,"TAL-1"
"Cell_484",0.222399078452188,0.123086020256319,0.202014258751019,"PT-1"
"Cell_485",0,0,0,"PT-1"
"Cell_486",0,0,0,"PT-1"
"Cell_487",0.0436232561158878,-0.13736018886732,0.2506597480849,"PT-1"
"Cell_488",0,0,0,"TAL-2"
"Cell_489",0.0914528626722345,-0.0986675899866211,-0.0122920697828492,"PT-1"
"Cell_490",0,0,0,"PT-1"
"Cell_491",0.106710852369906,-0.0826229335913201,-0.090954820567578,"PT-1"
"Cell_492",0,0,0,"TAL-2"
"Cell_493",0,0,0,"PT-1"
