"","baseMean","log2FoldChange","lfcSE","pvalue","padj","padj_combi_ctrl","log2FC_combi_ctrl","Symbol","ENSEMBL_clean"
"ENSMUSG00000045294",603.844261855035,-0.631165129565078,0.243701480817373,0.00167561699013833,0.00624908050194286,0.0413725556273856,0.459292967370471,"Insig1","ENSMUSG00000045294"
"ENSMUSG00000045625",26.4291067883941,1.62489520032229,0.568191442721184,0.000112943442629858,0.000560406875469097,0.758828121070946,0.115220819153007,"Pigz","ENSMUSG00000045625"
"ENSMUSG00000045875",265.456900043721,-0.752039812245318,0.279031280615206,0.000851530450666685,0.00344299433488711,0.777346269511302,0.08198429820348,"Adra1a","ENSMUSG00000045875"
"ENSMUSG00000045973",3790.00814806145,-0.641225037264755,0.0743250011279828,8.55302725606774e-19,2.58135294531003e-17,6.87117460410022e-08,-0.415269497896365,"Slc25a51","ENSMUSG00000045973"
"ENSMUSG00000048087",1614.56594367106,-1.4766656637672,0.171854649618213,1.12386823939119e-18,3.35121670363589e-17,0.00700892880180489,-0.464984161917767,"Ahcyl","ENSMUSG00000048087"
"ENSMUSG00000048106",15.9967272825193,-4.69450699910634,1.73142043734183,1.9853285435986e-06,1.39625881908178e-05,0.698095702536312,0.149018672055144,NA,"ENSMUSG00000048106"
"ENSMUSG00000048163",52.1730773233288,0.928723366492391,0.401945086106358,0.00187162200512807,0.00689473792554033,0.788132845614139,-0.0930576389059828,"Selplg","ENSMUSG00000048163"
"ENSMUSG00000050866",1401.07763512024,-0.443463424524202,0.14220130595318,0.000682015318973012,0.00281715528121583,0.7187506628136,0.0689599771229123,"Clrn3","ENSMUSG00000050866"
"ENSMUSG00000051457",51.2456078402081,0.653378182628768,0.338240896099157,0.00950142555521635,0.0280751527065366,0.465087704426242,-0.217777447231493,"Spn","ENSMUSG00000051457"
"ENSMUSG00000052160",128.53342313388,1.1470250324137,0.265878750835768,1.30916483559969e-06,9.52028497815071e-06,0.285629941461841,0.267757634588488,"Pld4","ENSMUSG00000052160"
"ENSMUSG00000052336",129.567927061591,1.27718469628053,0.367761246451269,3.30793421583958e-05,0.000184496645033184,0.617417671851263,0.156731568042319,"Cx3cr1","ENSMUSG00000052336"
"ENSMUSG00000052698",2622.47333159351,-0.85169210545413,0.207315397885261,3.42862807409962e-06,2.31080934482438e-05,0.26895156251907,-0.231027280270531,"Tln2","ENSMUSG00000052698"
"ENSMUSG00000053310",40.9588263957528,0.772604361863751,0.322065446079846,0.00198851461111616,0.00726346503222945,0.998017445581876,-0.00157387483824553,"Nrgn","ENSMUSG00000053310"
"ENSMUSG00000053929",750.032901237044,-0.261524819452199,0.113344481543275,0.0150262014699184,0.0416176188602154,0.476558561397505,0.105075697534872,"Zftraf1","ENSMUSG00000053929"
"ENSMUSG00000054469",943.750752762656,-0.697872054165097,0.0983780036328698,1.40623894947154e-13,2.60901925989174e-12,0.0021660970583672,-0.31847139377215,"Lclat1","ENSMUSG00000054469"
"ENSMUSG00000054823",1703.79283909639,-0.471211971740157,0.0712375357210746,1.26146911819503e-11,1.89353655032309e-10,0.00903949727077145,-0.206993407244827,"Nsd3","ENSMUSG00000054823"
"ENSMUSG00000055022",49.3069804759319,1.75084059704775,0.36883409059086,9.51351937364655e-08,8.28071714759108e-07,0.294536136378511,0.319757879966176,"Cntn1","ENSMUSG00000055022"
"ENSMUSG00000055322",26258.7043679038,-0.72257458307059,0.139727834779345,2.44071345823368e-08,2.3371858435633e-07,0.127049877439555,-0.231373656650869,"Tns1","ENSMUSG00000055322"
"ENSMUSG00000055435",4285.13591306057,-1.03626277825486,0.154310642345258,1.75329284955834e-12,2.87716513901534e-11,0.00866966901568068,-0.409056925380089,"Maf","ENSMUSG00000055435"
"ENSMUSG00000056851",4100.9345983961,-0.549096115608977,0.0541968862123895,8.96658086029276e-25,4.4920989100847e-23,2.43458870525827e-10,-0.35737201177557,"Pcbp2","ENSMUSG00000056851"
"ENSMUSG00000058135",8906.18832746065,-0.6073971730706,0.108409462225121,3.52430037633436e-09,3.80536428799751e-08,0.0499230916138122,-0.234793294336433,"Gstm1","ENSMUSG00000058135"
"ENSMUSG00000059208",2176.74330328579,-0.490731101134412,0.0939906485644035,5.43557891140932e-08,4.92260302944248e-07,0.0484536767906331,-0.210217089329356,"Hnrnpm","ENSMUSG00000059208"
"ENSMUSG00000059493",412.848811643095,-0.642099950590273,0.177126737837985,4.43305193074312e-05,0.000240111573667075,0.531444631635017,-0.127107666405093,"Nhs","ENSMUSG00000059493"
"ENSMUSG00000060224",1661.84733383928,-0.773691306449296,0.125618617302439,6.43852262657799e-11,8.7890031928627e-10,0.00200201483202272,-0.396124545190198,"Pyroxd2","ENSMUSG00000060224"
"ENSMUSG00000060317",2715.8333958438,-0.887470612704847,0.290353745768022,0.000199726583746243,0.000933279168638071,0.929361540504586,-0.0299219035700048,"Acnat2","ENSMUSG00000060317"
"ENSMUSG00000060550",277.409933642509,0.7162950552337,0.223747523535931,0.000169907417171477,0.000806320357939277,0.647511785065451,0.113186149437983,"H2-Q7","ENSMUSG00000060550"
"ENSMUSG00000060586",663.435411758766,0.704424058884001,0.219839509583852,0.000174079097214538,0.000823955060566385,0.0666777016081628,-0.385807334936961,"H2-Eb1","ENSMUSG00000060586"
"ENSMUSG00000060961",13565.4312340693,-1.30078208248516,0.169111643803691,2.02457764440951e-15,4.57058169916695e-14,0.0126093648657227,-0.426376662029848,"Slc4a4","ENSMUSG00000060961"
"ENSMUSG00000061436",1218.57438881566,-0.545278124901552,0.0991079615638139,8.6579938164373e-09,8.78565505179191e-08,0.039390080075434,-0.226939415936321,"Hipk2","ENSMUSG00000061436"
"ENSMUSG00000061455",601.40629549486,-0.437958784887467,0.0987009613605781,3.57355591706294e-06,2.39792353692526e-05,0.646868256521546,-0.062666185329222,"Stx17","ENSMUSG00000061455"
"ENSMUSG00000061808",1505.21841859765,0.858763187625876,0.252279535939084,5.97071425834918e-05,0.00031482379608777,0.479293184199471,-0.175389027797181,"Ttr","ENSMUSG00000061808"
"ENSMUSG00000062960",1296.78734607894,-0.832859639416342,0.118696512783047,1.79456632948948e-13,3.28354459312017e-12,0.0102957906266092,-0.317677178717974,"Kdr","ENSMUSG00000062960"
