"Gene","Symbol","LFC_Age","LFC_Combined","LFC_DR","LFC_sAct","Restoration_DR","Restoration_sAct","Restoration_Combined","Intervention_DR_Effect","Intervention_sAct_Effect","Intervention_Combined_Effect"
"ENSMUSG00000020859","Spag9",-0.236433525394462,0.314925767412427,0.198434992864024,-0.00116355047862091,0.839284498816142,0,1.33198439978853,"Rescue","Worsening","Rescue"
"ENSMUSG00000020955","Ap4s1",-0.335688546998714,0.125175956919838,0.150701861199601,-0.000139371353379608,0.448933580090769,0,0.372893141690407,"Rescue","Worsening","Rescue"
"ENSMUSG00000021188","Trip11",-0.350043430836578,0.596722239574532,0.212408499609328,-0.000185720805355925,0.606806130032744,0,1.70470915037146,"Rescue","Worsening","Rescue"
"ENSMUSG00000021190","Lgmn",0.571384608487432,-0.357955785678457,-0.247240253863404,0.000802607794916321,0.432703734386368,0,0.62647082256212,"Rescue","Worsening","Rescue"
"ENSMUSG00000021194","Chga",0.85899976215215,-0.575932456312739,-0.761117287990773,0.00108191930345209,0.88605063880793,0,0.67046870288973,"Rescue","Worsening","Rescue"
"ENSMUSG00000021215","Net1",0.78943817659529,-0.581447249324676,-0.224567144466771,0.000955239853934366,0.284464510489333,0,0.736532975681969,"Rescue","Worsening","Rescue"
"ENSMUSG00000021256","Vash1",0.875522682867466,-0.395897204140005,-0.289494303810778,0.00033553609569736,0.330653116676134,0,0.452183834739019,"Rescue","Worsening","Rescue"
"ENSMUSG00000021262","Evl",0.950868662341239,-0.61725573032216,-0.962865883725631,2.43974170656378e-05,1.01261711723137,0,0.649149303966277,"Rescue","Worsening","Rescue"
"ENSMUSG00000021550","Qng1",0.344962279511564,-0.390466842394666,-0.236467799041869,4.86137126288166e-05,0.685488858018583,0,1.13191170625244,"Rescue","Worsening","Rescue"
"ENSMUSG00000021669","Cert1",-0.317386764206865,0.224100187571831,0.112667072988413,-8.11835693732531e-05,0.354983527022505,0,0.706079184278046,"Rescue","Worsening","Rescue"
"ENSMUSG00000021703","Serinc5",1.47646142641427,-1.05032100873294,-1.16944840897628,0.0243664897588994,0.792061606252996,0,0.711377209009616,"Rescue","Worsening","Rescue"
"ENSMUSG00000021830","Txndc16",-0.358047158086554,0.124547116621426,0.133700986141971,-0.000405122030539873,0.373417252790065,0,0.347851152588449,"Rescue","Worsening","Rescue"
"ENSMUSG00000021973","Micu2",0.313484312805632,-0.299966203331853,-0.316390701356806,0.000470808610661888,1.00927124080042,0,0.956877875792909,"Rescue","Worsening","Rescue"
"ENSMUSG00000022440","C1qtnf6",0.839881355485131,-1.40513936162666,-1.18244549699602,2.50460172590351e-05,1.40787206344522,0,1.6730212576454,"Rescue","Worsening","Rescue"
