"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000001098",966.087326341172,-0.0132738295441913,0.0970700218960698,0.829299734744057,0.943351988497355
"ENSMUSG00000001100",1652.1420318735,-0.000816656862679774,0.0648973920144775,0.987739242961084,0.996204197295961
"ENSMUSG00000001105",510.093581789168,-0.0798134964910627,0.10732348048286,0.224211242883775,0.582023702182617
"ENSMUSG00000001119",380.818031959472,0.146593154390159,0.107867668596864,0.036421968863157,0.225427632978729
"ENSMUSG00000001120",384.681774605109,0.197825570448023,0.178545562724558,0.0240313300309366,0.178351438553924
"ENSMUSG00000001123",284.664848454869,-0.114775542448015,0.128347638358148,0.107134611528826,0.40765585670876
"ENSMUSG00000001127",1386.68631297361,0.0317917658602488,0.0820365970728693,0.592966256024104,0.845057696933928
"ENSMUSG00000001128",48.8697124000716,-0.271797679893609,0.294429061164283,0.0114516862296207,0.112395280192466
"ENSMUSG00000001131",20.9755389378638,-0.287797958663284,0.340627624904755,0.00910671140232806,0.0968014045579078
"ENSMUSG00000001134",256.68404363699,0.0389467735311418,0.113367651272282,0.536104927011928,0.816497021394761
"ENSMUSG00000001138",541.330726373247,0.413565340152183,0.207255560040115,0.000651318061328496,0.0165348480407524
"ENSMUSG00000001143",638.240449475124,-0.0116592759388066,0.0838059828983779,0.845159998395376,0.949073578965711
"ENSMUSG00000001150",654.443194729743,0.0500240241943762,0.123957063921329,0.432137521981023,0.752631904033756
"ENSMUSG00000001151",679.46479249609,0.180424005705985,0.115560192496659,0.0149441545555045,0.133240255590507
"ENSMUSG00000001155",257.037438036895,0.033405234420755,0.150519784767611,0.569268956389539,0.833268952156543
"ENSMUSG00000001156",264.003279166023,0.0644581130991385,0.0924559626514919,0.30277905353407,0.657684797905406
"ENSMUSG00000001157",497.017722219541,-0.128123624483864,0.0935412239851289,0.049480328052885,0.268612153212301
"ENSMUSG00000001158",491.571356651153,-0.146966146170483,0.103535038166853,0.0329939995669674,0.213648904770064
"ENSMUSG00000001166",118.198022084173,0.0840865351150795,0.152749636432456,0.21370669855437,0.570460666198464
"ENSMUSG00000001173",509.940975894037,-0.0373969852199582,0.0962755162061414,0.547183007710302,0.822280357404721
"ENSMUSG00000001175",4544.22742969444,-0.0782424265803663,0.0865176900059204,0.204050810118223,0.559019146575964
"ENSMUSG00000001211",5892.64269325948,0.0907683404430294,0.0897695519213347,0.148724916096995,0.478080908550935
"ENSMUSG00000001225",1.02891975248763,-0.0123463309960743,0.236617820534776,0.50023323560792,NA
"ENSMUSG00000001227",144.468832253076,0.0653762622700788,0.118625424741664,0.316648378071522,0.670204324304567
"ENSMUSG00000001228",73.324913244953,-0.175761618976457,0.232548830550628,0.040189026842112,0.23831455317614
"ENSMUSG00000001229",624.692991366797,-0.0652709271348204,0.080327681498061,0.272668580694536,0.629199934947224
"ENSMUSG00000001240",224.228594205965,-0.17729968632775,0.13502643759958,0.0239130311739661,0.177874086511181
