"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000730",2.04105052199002,-0.0276721507812411,0.230047809874504,0.384703645275164,NA
"ENSMUSG00000000731",4.75671509898885,-0.017724973707024,0.200535856756031,0.627470654723936,NA
"ENSMUSG00000000732",255.235280967825,-0.100905113494034,0.102535540946598,0.0865569058088425,0.383707053335946
"ENSMUSG00000000738",2031.8801115673,-0.00949509988829878,0.0799249205174701,0.849058792092756,0.961537314627272
"ENSMUSG00000000739",41.0988875819708,0.00853373310379279,0.135797067897129,0.857064822061968,0.962333471065576
"ENSMUSG00000000740",5101.64085793448,0.0374912281510268,0.0713852220926182,0.444824933181018,0.793064676793876
"ENSMUSG00000000743",1542.8844179892,-0.0739131932387508,0.0630205347701621,0.11742284653707,0.451665855247614
"ENSMUSG00000000751",832.806944147806,-0.00335991134944796,0.0712440068153458,0.944706057945556,0.985991950501873
"ENSMUSG00000000753",27.3313275315484,-0.14142222259433,0.308287337917792,0.0426597218993702,0.26365375872796
"ENSMUSG00000000759",705.933831972459,0.031665461331624,0.0648548180864459,0.500805486045111,0.823644558602441
"ENSMUSG00000000776",320.927988496128,0.0454165811310891,0.11129831921394,0.389938785729393,0.754220447688865
"ENSMUSG00000000782",30.6007155816658,-0.229693183002693,0.310230902445413,0.0178692272744666,0.161322404698144
"ENSMUSG00000000787",5832.9819551765,0.0136054961217508,0.0811539364703622,0.785907158383946,0.940485643632618
"ENSMUSG00000000791",6.16526180476479,0.00551688764790548,0.186372053594218,0.885957855051524,NA
"ENSMUSG00000000792",5.17617222605379,0.0481151035352506,0.21470202209764,0.274321782024626,NA
"ENSMUSG00000000794",52.2998796877471,0.021970504725325,0.125480804992609,0.655891545558066,0.890520733796019
"ENSMUSG00000000804",1570.7842287213,0.0840220960947993,0.0776539874343886,0.110209441660399,0.43795017219177
"ENSMUSG00000000805",1310.0945112706,0.0065183039367026,0.0742264640307116,0.894283811015067,0.973262439413716
"ENSMUSG00000000811",278.747142813668,-0.19751747265663,0.121783272804665,0.00606341750179487,0.0810226007782419
"ENSMUSG00000000817",4.39363025153187,-0.0502937865764042,0.225723069802057,0.240213965582348,NA
"ENSMUSG00000000823",688.107455820059,0.072393314996811,0.101738468942418,0.194546680097039,0.574435681232762
"ENSMUSG00000000826",2680.77797665026,0.0334275570778493,0.0693085889380494,0.489916566396782,0.817486869349138
"ENSMUSG00000000827",859.67432077882,0.0839840847222452,0.101136779158428,0.140495298202907,0.492826371260139
"ENSMUSG00000000838",1254.11989558395,0.0478337512105084,0.0668590613074853,0.319199842589262,0.701162678035365
"ENSMUSG00000000861",3.71624760228671,-0.0505619329652613,0.247506207686341,0.192646519396255,NA
"ENSMUSG00000000876",2052.31809051305,0.0153130250496597,0.0764827821272955,0.757253665554608,0.932405006627138
"ENSMUSG00000000881",425.279947387099,0.00821750601854888,0.0776276843144082,0.868408358176236,0.96622745200646
"ENSMUSG00000000884",41.4529721515629,-0.0273043443525219,0.132288012475388,0.581427373956552,0.859958888917093
"ENSMUSG00000000889",3.66357357668337,-0.0370743656942895,0.21820789971162,0.338561444192008,NA
"ENSMUSG00000000901",79.3509895087132,-0.0606377723212068,0.176834046649775,0.257339070696009,0.644579439293706
"ENSMUSG00000000902",537.686658430162,-0.0879000598286529,0.107930677871298,0.130519819131784,0.475350522363031
"ENSMUSG00000000903",1.01100243401495,0.0181875255919352,0.24989089639497,0.42204639964532,NA
"ENSMUSG00000000915",1414.2377099432,0.169289731541137,0.127104966317026,0.0159177786159742,0.149712411847651
"ENSMUSG00000000916",164.319837808486,0.0359230445350871,0.100126048946264,0.488538805045322,0.816731414052337
"ENSMUSG00000000934",311.193863008481,-0.0997024482580968,0.117217842767563,0.0994303654071192,0.413899621133829
"ENSMUSG00000000938",562.320108148542,-0.0710104746891642,0.0748503436379102,0.165627860284838,0.533297757680866
"ENSMUSG00000000942",31.1202656175388,0.0628812354319769,0.180032209760698,0.243455616574743,0.629895530572465
"ENSMUSG00000000948",57.1373980259389,-0.0148767858337623,0.1238302677682,0.760292617917666,0.933267186750235
"ENSMUSG00000000957",301.331709450581,0.0776912934942809,0.115465789958401,0.175905167313731,0.545802925924866
